zone,station_id,name,latitude,longitude,address,neighborhood,postal_code,capacity,bikes_available,bikes_unavailable,docks_available,docks_unavailable
Zapopan,106,(ZPN-016) Av. Hidalgo/ C. Emiliano Zapata,20.721643,-103.3902,(ZPN-016) Av. Hidalgo / C. Emiliano Zapata*,Guadalajara Centro,45100,19,0,0,19,0
Zapopan,107,(ZPN-017) C. Juan Manuel / C. Pedro Moreno,20.72374,-103.388657,(ZPN-017) C. Juan Manuel / C. Pedro Moreno *,Guadalajara Centro,45100,15,0,0,15,0
Zapopan,108,(ZPN-018) Av. Juan Pablo II / C. Santa Lucía,20.727068,-103.386286,(ZPN-018) Av. Juan Pablo II / C. Santa Lucía *,Seattle,45150,15,4,0,11,0
Zapopan,110,(ZPN-020) Av. Aurelio Ortega / Av. Laureles,20.721039,-103.386942,(ZPN-020) Av. Aurelio Ortega / Av. Laureles *,Seattle,45150,15,0,0,15,0
Zapopan,111,(ZPN-021) Blvrd. Panamericano/ C.Santa Mónica,20.72832,-103.384156,(ZPN-021) Blvr. Panamericano / C. Santa Mónica *,Seattle,45150,15,5,0,10,0
Zapopan,112,(ZPN-022) Av. Aurelio Ortega / C. Morelos*,20.722427,-103.383,(ZPN-022) Av. Aurelio Ortega / C. Morelos*,Seattle,45150,15,12,0,3,0
Zapopan,115,(ZPN-025) C. Pedro Moreno / C. Jesus García,20.727913,-103.388162,(ZPN-025) C. Pedro Moreno / C. Jesús García *,Guadalajara Centro,45100,15,3,0,12,0
Zapopan,117,(ZPN-027) C. 5 de Mayo / C. Noviembre,20.720452,-103.388629,(ZPN-027) C. 5 de Mayo / C. Noviembre *,Guadalajara Centro,45100,11,0,0,11,0
Zapopan,118,(ZPN-028) C. Ejido / C. Sabino Delgado,20.729724,-103.398598,(ZPN-028) C. Ejido / C. Sabino Delgado *,San Isidro Ejidal,45147,11,3,0,8,0
Zapopan,119,(ZPN-029) C. La Villa / C. Cuauhtémoc,20.728147,-103.393858,(ZPN-029) C. La Villa / C. Cuauhtémoc *,San Isidro Ejidal,45147,15,8,0,7,0
Zapopan,120,(ZPN-030) C. Francisco Sarabia / C. Libertad,20.727381,-103.399976,(ZPN-030) C. Francisco Sarabia / C. Libertad *,San Isidro Ejidal,45147,15,3,0,12,0
Zapopan,125,(ZPN-031) C. Niño Obrero/Calz Lázaro Cárdenas,20.67342,-103.40945,(ZPN-031) C. Niño Obrero / Calz. Lázaro Cárdenas,Don Bosco Vallarta,45049,19,5,1,13,0
Zapopan,126,(ZPN-032) Calz Lázaro Cárdenas / Av San Fco,20.67195,-103.40641,(ZPN-032) Calz. Lázaro Cárdenas / Av. San Francisco,Don Bosco Vallarta,45049,19,0,1,18,0
Zapopan,127,(ZPN-033) Av Lázaro Cárdenas / Av San Ignacio,20.6707,-103.40458,(ZPN-033) Av. Lázaro Cárdenas / Av. San Ignacio *,Jardines del Bosque,45040,15,0,0,15,0
Zapopan,128,(ZPN-034) C. San Demetrio / C. Niño Obrero,20.66984,-103.40968,(ZPN-034) C. San Demetrio / C. Niño Obrero,Jardines del Bosque,45040,15,5,0,10,0
Zapopan,129,(ZPN-035) C. San Juan Bosco / Av. San Ignacio,20.66844,-103.40495,(ZPN-035) C. San Juan Bosco / Av. San Ignacio*,Jardines del Bosque,45040,11,2,0,9,0
Zapopan,130,(ZPN-036) C. Niño Obrero /C José María Robles,20.66731,-103.40953,(ZPN-036) C. Niño Obrero / C. José María Robles,Chapalita Oriente,45040,19,1,0,18,0
